sample,experiment,wn,int,current_A,cell_voltage
50 mA,exp1,3750.19922,3339.34937,0.05,3.69
50 mA,exp1,3749.5293,3268.89893,0.05,3.69
50 mA,exp1,3748.85938,3546.51709,0.05,3.69
50 mA,exp1,3748.18945,3380.35938,0.05,3.69
50 mA,exp1,3747.51856,3319.88037,0.05,3.69
50 mA,exp1,3746.84863,3301.6626,0.05,3.69
50 mA,exp1,3746.17773,3424.22119,0.05,3.69
50 mA,exp1,3745.50684,3360.24902,0.05,3.69
50 mA,exp1,3744.83594,3394.80273,0.05,3.69
50 mA,exp1,3744.16504,3404.72266,0.05,3.69
50 mA,exp1,3743.49414,3281.00732,0.05,3.69
50 mA,exp1,3742.82324,3350.71631,0.05,3.69
50 mA,exp1,3742.15137,3445.00635,0.05,3.69
50 mA,exp1,3741.48047,3356.49927,0.05,3.69
50 mA,exp1,3740.80859,3303.16504,0.05,3.69
50 mA,exp1,3740.13672,3432.54468,0.05,3.69
50 mA,exp1,3739.46484,3308.96216,0.05,3.69
50 mA,exp1,3738.79297,3540.14209,0.05,3.69
50 mA,exp1,3738.12109,3458.72217,0.05,3.69
50 mA,exp1,3737.44922,3264.98877,0.05,3.69
50 mA,exp1,3736.77637,3520.61865,0.05,3.69
50 mA,exp1,3736.10352,3456.79492,0.05,3.69
50 mA,exp1,3735.43164,3266.67847,0.05,3.69
50 mA,exp1,3734.75879,3364.29981,0.05,3.69
50 mA,exp1,3734.08594,3367.18262,0.05,3.69
50 mA,exp1,3733.41309,3408.6394,0.05,3.69
50 mA,exp1,3732.73926,3337.8833,0.05,3.69
50 mA,exp1,3732.06641,3372.31909,0.05,3.69
50 mA,exp1,3731.39356,3333.13965,0.05,3.69
50 mA,exp1,3730.71973,3392.09326,0.05,3.69
50 mA,exp1,3730.0459,3528.10352,0.05,3.69
50 mA,exp1,3729.37207,3443.37891,0.05,3.69
50 mA,exp1,3728.69824,3446.24268,0.05,3.69
50 mA,exp1,3728.02441,3442.10205,0.05,3.69
50 mA,exp1,3727.35059,3308.42676,0.05,3.69
50 mA,exp1,3726.67578,3356.81812,0.05,3.69
50 mA,exp1,3726.00195,3272.20361,0.05,3.69
50 mA,exp1,3725.32715,3345.0769,0.05,3.69
50 mA,exp1,3724.65234,3281.48633,0.05,3.69
50 mA,exp1,3723.97852,3399.80151,0.05,3.69
50 mA,exp1,3723.30371,3364.20068,0.05,3.69
50 mA,exp1,3722.62793,3398.54224,0.05,3.69
50 mA,exp1,3721.95313,3258.08106,0.05,3.69
50 mA,exp1,3721.27832,3316.89526,0.05,3.69
50 mA,exp1,3720.60254,3326.76465,0.05,3.69
50 mA,exp1,3719.92676,3403.01367,0.05,3.69
50 mA,exp1,3719.25195,3374.43823,0.05,3.69
50 mA,exp1,3718.57617,3461.12769,0.05,3.69
50 mA,exp1,3717.90039,3429.06006,0.05,3.69
50 mA,exp1,3717.22363,3438.89941,0.05,3.69
50 mA,exp1,3716.54785,3480.15088,0.05,3.69
50 mA,exp1,3715.87207,3395.74756,0.05,3.69
50 mA,exp1,3715.19531,3475.37427,0.05,3.69
50 mA,exp1,3714.51856,3474.73169,0.05,3.69
50 mA,exp1,3713.8418,3432.23267,0.05,3.69
50 mA,exp1,3713.16602,3368.82495,0.05,3.69
50 mA,exp1,3712.48828,3347.28174,0.05,3.69
50 mA,exp1,3711.81152,3367.57983,0.05,3.69
50 mA,exp1,3711.13477,3436.66675,0.05,3.69
50 mA,exp1,3710.45703,3279.2146,0.05,3.69
50 mA,exp1,3709.78027,3323.90308,0.05,3.69
50 mA,exp1,3709.10254,3298.9043,0.05,3.69
50 mA,exp1,3708.42481,3413.23023,0.05,3.69
50 mA,exp1,3707.74707,3384.7417,0.05,3.69
50 mA,exp1,3707.06934,3349.30078,0.05,3.69
50 mA,exp1,3706.3916,3338.23926,0.05,3.69
50 mA,exp1,3705.71289,3229.73315,0.05,3.69
50 mA,exp1,3705.03516,3451.83594,0.05,3.69
