sample,experiment,peak_index,position,amplitude,fwhm
100 mA,exp1,1,3059.453569399565,385.90535749746135,28.901069953309115
100 mA,exp1,2,3202.7316024896486,264.519224599132,156.04785316736118
100 mA,exp1,3,3403.791196440686,566.4040706548872,270.31416730595686
100 mA,exp2,1,3060.0980717831644,184.77015534823246,29.618447437037407
100 mA,exp2,2,3222.2806011289836,217.5622797598119,187.91382815469873
100 mA,exp2,3,3421.088971336467,342.0782742082987,213.12509050364125
100 mA,exp3,1,3059.3688833544493,357.78776746864514,27.167157336898427
100 mA,exp3,2,3216.86820220247,252.0676858402867,159.34233044578133
100 mA,exp3,3,3414.0996280733816,618.2227853592026,242.32027268282184
100 mA,exp4,1,3057.9964752156034,621.9886149735655,26.66747574049565
100 mA,exp4,2,3205.6194624208256,357.95691260214824,141.37972655363805
100 mA,exp4,3,3405.847254824746,1226.9632007645848,274.2773769417695
100 mA,exp5,1,3058.0658306139385,511.4222663050089,25.539360534488214
100 mA,exp5,2,3208.703673386138,335.4418150905667,145.67773617164684
100 mA,exp5,3,3410.1471870800237,1048.3801441509336,258.86466504841115
1000 mA,exp1,1,3058.1572790671516,508.34694425759164,26.44191858054219
1000 mA,exp1,2,3213.7489816163297,173.300181128666,142.22885522048168
1000 mA,exp1,3,3422.3414198002574,489.59748737575603,279.9999999999997
1000 mA,exp2,1,3058.453856331318,476.008770474512,26.160991677342874
1000 mA,exp2,2,3217.579399067193,164.12777395278576,143.82886104509117
1000 mA,exp2,3,3422.953294885879,465.14215057287953,267.24010564329365
1000 mA,exp3,1,3058.589432423454,446.01102472780923,25.693240734377124
1000 mA,exp3,2,3218.9980364160765,149.97731197021773,136.92533247336306
1000 mA,exp3,3,3422.8652588632885,468.8225106438601,279.99999999998755
1000 mA,exp4,1,3057.9845195691883,466.7313806011741,27.154679357433615
1000 mA,exp4,2,3219.336245685509,191.5825472059354,142.17358118255555
1000 mA,exp4,3,3426.2145501775735,516.062905124324,274.37349384862097
1000 mA,exp5,1,3057.8598902152744,423.38479320463153,25.444210089049307
1000 mA,exp5,2,3221.639410703005,138.49987352661756,129.43902589256138
1000 mA,exp5,3,3419.2653837097614,465.1116800000247,274.08120317974493
150 mA,exp1,1,3058.483674842582,672.9708198018351,26.29919034951773
150 mA,exp1,2,3205.8888374514786,400.26810618018175,138.90904588923763
150 mA,exp1,3,3407.117072797882,1385.198296320558,273.2346466083087
150 mA,exp2,1,3057.8189122082485,318.2535202757896,26.411815004667066
150 mA,exp2,2,3203.636693919306,209.60667451235255,153.8366629378412
150 mA,exp2,3,3410.493896282858,604.524194915654,267.46840382843726
150 mA,exp3,1,3058.266804706559,93.45246665002156,21.416928773253137
150 mA,exp3,2,3216.327803193407,139.19346985098437,197.22325725200076
150 mA,exp3,3,3423.914349230648,173.619536758551,198.3553209866766
150 mA,exp4,1,3059.5585585281883,306.1120342846552,30.416935676567675
150 mA,exp4,2,3203.5012857134707,237.09913808795312,155.30524001589336
150 mA,exp4,3,3408.5076859713686,623.6952513772108,255.96146783341007
200 mA,exp1,1,3058.6922668090497,372.7172772787468,28.517216742870165
200 mA,exp1,2,3204.3047054052486,195.24038043563962,143.58677387299227
200 mA,exp1,3,3406.1817261860197,638.9453908401571,275.44666022127586
200 mA,exp2,1,3058.269904553631,350.179591801398,27.17807939577336
200 mA,exp2,2,3205.799929127814,219.81156324895923,159.20123034517684
200 mA,exp2,3,3411.449577813507,640.567308035507,272.5848807824489
200 mA,exp3,1,3058.307800924862,463.4767333907554,27.855135293465832
200 mA,exp3,2,3204.3277480756647,255.00357391817195,146.73021024408203
200 mA,exp3,3,3407.9494424759846,763.6984222892386,276.4723037298122
200 mA,exp4,1,3057.8926174428684,1067.6878909613201,24.737706130227334
200 mA,exp4,2,3211.7118889205217,361.1025320403822,119.95246452744962
200 mA,exp4,3,3408.705190138811,1356.212213872524,279.99999999999994
200 mA,exp5,1,3057.8798067808752,473.4160164860767,25.05722790959618
200 mA,exp5,2,3210.0897037337163,240.8944811812566,140.5171134917492
200 mA,exp5,3,3410.685111123177,741.3462896978604,271.92543139745555
300 mA,exp1,1,3058.6958925385916,423.99353093154997,26.741173139408602
300 mA,exp1,2,3209.5573697078526,232.29076235640068,137.92350221644224
300 mA,exp1,3,3411.600832866161,690.680690326259,276.51050703667653
300 mA,exp2,1,3058.9853543780023,477.2388182941517,24.531191320835582
300 mA,exp2,2,3210.8606643123076,243.76728942419808,165.4936884621669
300 mA,exp2,3,3411.144487984856,740.5289819696701,279.9999999997413
300 mA,exp3,1,3058.791945640736,380.13761878920866,27.078139486816813
300 mA,exp3,2,3211.5407434952776,220.51538718324713,155.97993514882288
300 mA,exp3,3,3411.8881801648517,601.4577100396237,267.9728285110182
300 mA,exp4,1,3057.6190342566674,629.4491531206854,26.262646239843793
300 mA,exp4,2,3215.5062710277507,296.8806782293504,150.44548730556653
300 mA,exp4,3,3413.3897628613395,919.4420313662574,279.99999999791464
300 mA,exp5,1,3058.20009928281,599.0169946671894,25.25801830676091
300 mA,exp5,2,3228.913882560998,420.145934105762,171.0083448535356
300 mA,exp5,3,3427.302015882162,898.3156595582752,227.2819342437731
300 mA,exp6,1,3058.3594884431022,294.1562557847344,24.374415338616434
300 mA,exp6,2,3213.423337757611,170.8944545724617,156.58299996347657
300 mA,exp6,3,3410.219036970069,490.47739455912205,266.22787563187
300 mA,exp7,1,3057.825914732029,534.8806177420479,25.709577671588878
300 mA,exp7,2,3214.4192881041195,255.33282697050706,150.41222033012383
300 mA,exp7,3,3411.2982648833863,765.983456358278,274.6767812026411
400 mA,exp1,1,3066.3596569899996,0.8357306573688599,10.720423702103037
400 mA,exp1,2,3209.532868753828,220.5919469583829,149.96644207201658
400 mA,exp1,3,3419.4411494259202,642.8183534242977,279.9999999999932
500 mA,exp1,1,3057.8638230929364,285.5226307672871,29.51130865016592
500 mA,exp1,2,3215.551896534385,163.02376195740146,144.49898608968184
500 mA,exp1,3,3419.8860945650317,422.69941284599753,279.99999999999955
500 mA,exp2,1,3058.0940804833203,276.6665077171882,24.1248462261301
500 mA,exp2,2,3219.512430828415,158.65418135755354,153.0954402843673
500 mA,exp2,3,3421.5729258712486,347.3047002768384,259.67866618695865
500 mA,exp3,1,3058.739552497158,339.8734172757222,27.20148446712871
500 mA,exp3,2,3207.0696091787613,172.19883679200757,156.57796060932012
500 mA,exp3,3,3419.539966009578,386.7317530958073,260.83978671061794
500 mA,exp4,1,3058.441049108592,349.3871279462732,25.51772605640421
500 mA,exp4,2,3204.423252234546,129.24958734122185,123.59546151238594
500 mA,exp4,3,3407.63703521527,384.5885753620253,279.9999999999907
500 mA,exp5,1,3057.765132174383,448.8725264779718,25.449587384996864
500 mA,exp5,2,3219.581764163863,192.01791259874352,149.6713361686115
500 mA,exp5,3,3418.9128035109493,501.9735027868064,279.9999999999989
750 mA,exp1,1,3058.5539810109,417.7271963519204,26.605247040817034
750 mA,exp1,2,3214.5650307504607,184.4702347713863,151.30512143127672
750 mA,exp1,3,3418.035301195193,484.9334201619898,279.99999953451504
750 mA,exp2,1,3057.885534677552,493.72020504687083,26.8167470301096
750 mA,exp2,2,3216.157406009911,221.24752250967086,142.45738319223685
750 mA,exp2,3,3417.308120213383,596.7498666450464,279.99999999999625
750 mA,exp3,1,3058.315395418563,355.501392210536,25.759263810204562
750 mA,exp3,2,3202.2047530588666,128.38078843036848,163.47714044341393
750 mA,exp3,3,3409.8403921049326,403.9130465129438,279.9999999996093
750 mA,exp4,1,3058.474995835287,551.4126428051629,27.310928307708053
750 mA,exp4,2,3216.7504260865776,239.74628126699088,153.46957033319788
750 mA,exp4,3,3417.8709544845346,652.2457496892916,279.99999999999864
