current_mA,current_density,peak_index,amp_mean,amp_std,fwhm_mean,fwhm_std,pos_mean,pos_std,species
100.0,0.1,1,412.37483231858266,165.251778949003,27.578702200445765,1.6634177444757439,3058.996566073344,0.9256399469940936,0-HB
100.0,0.1,2,285.5095835783891,58.98651332525159,158.07229489862522,18.224265319048175,3211.240708325613,8.123849985964602,4-HB water
100.0,0.1,3,760.4096950275814,365.1902348426624,251.78031449652013,24.917505264502065,3410.994847551061,6.9036190790964085,3-HB water
150.0,0.15,1,347.69721025307535,240.16630936253634,26.1362174510014,3.6832389879857805,3058.5319875713944,0.7382367448693802,0-HB
150.0,0.15,2,246.54184715786795,110.46690085926133,161.31855152374322,25.05641905991356,3207.3386550694154,6.091980385479614,4-HB water
150.0,0.15,3,696.7593198429935,503.80853947713405,248.75495981420815,34.35843129998516,3412.508251070689,7.729295455795976,3-HB water
200.0,0.2,1,545.4955019836594,296.90404234356413,26.669073094386572,1.688911568906442,3058.2084793022573,0.3374472323488416,0-HB
200.0,0.2,2,254.41050616488192,63.766005198401,141.99755849629,14.222058647309819,3207.246795052593,3.43836228346553,4-HB water
200.0,0.2,3,828.1539249470574,300.6344300336058,275.2858552261985,3.249784242880595,3408.9942095474994,2.119735512467719,3-HB water
300.0,0.3,1,476.98185561850966,120.48717315566722,25.707880214838717,1.0502518769320464,3058.3539613245625,0.5082747748045263,0-HB
300.0,0.3,2,262.8324761202753,79.05974777892442,155.40659689716207,10.817359518758604,3214.888793852274,6.523186092115313,4-HB water
300.0,0.3,3,729.5551320253551,153.33130506606517,267.52427523194785,18.549600089142928,3413.834654516118,6.015111953603555,3-HB water
400.0,0.4,1,0.8357306573688599,,10.720423702103037,,3066.3596569899996,,0-HB
400.0,0.4,2,220.5919469583829,,149.96644207201658,,3209.532868753828,,4-HB water
400.0,0.4,3,642.8183534242977,,279.9999999999932,,3419.4411494259202,,3-HB water
500.0,0.5,1,340.0644420368885,68.77545975007398,26.360990556965163,2.0720175149764084,3058.1807274712783,0.4064198262694018,0-HB
500.0,0.5,2,163.0288560093856,22.828878342514933,145.48783693287334,13.025187765533467,3213.227790587994,7.083682754943976,4-HB water
500.0,0.5,3,408.65958887349495,58.58598214391924,272.10369057951317,10.820257262599204,3417.5097650344155,5.6061850904176795,3-HB water
750.0,0.75,1,454.5903591036225,85.79668912167028,26.62304654720981,0.6473377873202107,3058.3074767355756,0.29828666993933467,0-HB
750.0,0.75,2,193.4612067446041,49.094079386140436,152.67730385003134,8.633149665988432,3212.419403976454,6.87200163324618,4-HB water
750.0,0.75,3,534.460520752318,111.42845161903041,279.9999998835298,2.3267659413927093e-07,3415.7636919995107,3.961123732293186,3-HB water
1000.0,1.0,1,464.09658265314374,31.982315764393597,26.17900808774902,0.6703131665959687,3058.2089955212773,0.30806963993762776,0-HB
1000.0,1.0,2,163.4975375568445,20.572654743505094,138.91913116281057,5.90548039821811,3218.2604146976228,2.9127273668462252,4-HB water
1000.0,1.0,3,480.9473467433689,22.110583387826956,275.1389605343294,5.2762701748308185,3422.727981487352,2.4680349341346792,3-HB water
