sample,experiment,peak_index,position,amplitude,fwhm
0.5 mA,exp1,1,3075.528141190263,556.2863357952035,55.01119330167314
0.5 mA,exp1,2,3231.579864984208,9217.37561963273,279.99999999999994
0.5 mA,exp1,3,3473.539744416542,11681.893823122822,226.4567942465768
1 mA,exp1,1,3072.8804689325925,368.445719314115,37.09062459359821
1 mA,exp1,2,3261.98712753749,12344.113905345606,279.99999999999994
1 mA,exp1,3,3481.067799892889,18246.536483406213,210.97065926334054
10 mA,exp1,1,3094.9324459287545,610.048591894656,79.99999999954046
10 mA,exp1,2,3240.2144139953193,10194.420250357078,215.6073197543307
10 mA,exp1,3,3454.302651015292,21367.45125852287,218.0583586235058
25 mA,exp1,1,3103.985588470522,1116.8682832614043,79.99999999999999
25 mA,exp1,2,3225.387878707977,8251.286448268631,175.76317351946466
25 mA,exp1,3,3447.063046656123,23367.963107437943,238.7590281729328
50 mA,exp1,1,3101.414392552041,1281.8230881966936,79.99999999999999
50 mA,exp1,2,3216.875242751064,6770.575693178617,156.67469648152573
50 mA,exp1,3,3448.6696124377872,28099.270645712942,266.5293802830941
100 mA,exp1,1,3090.159195831026,310.8799422641089,59.45710376485822
100 mA,exp1,2,3211.7548638503313,3105.569642602277,192.8917758719077
100 mA,exp1,3,3432.645354393153,11550.074620397427,279.99999999999994
150 mA,exp1,1,3005.4209094358066,169.80221867148813,5.000000016111197
150 mA,exp1,2,3223.0187750147043,2687.504375614396,279.99999999999994
150 mA,exp1,3,3430.4130520013814,7918.354706374361,279.99999999999994
200 mA,exp1,1,3099.5818812834946,21.82529087643739,62.66718835117237
200 mA,exp1,2,3204.6583420151915,130.880850359218,184.64727499186463
200 mA,exp1,3,3417.718533008029,356.8847108881721,279.99999999999994
