current_density,peak_index,pct_mean,pct_std,species
0.0005,2.0,44.10381733619788,,4-HB water
0.0005,3.0,55.89618266380211,,3-HB water
0.001,2.0,40.35257096032367,,4-HB water
0.001,3.0,59.647429039676325,,3-HB water
0.01,2.0,32.29979644105982,,4-HB water
0.01,3.0,67.70020355894019,,3-HB water
0.025,2.0,26.09576939431017,,4-HB water
0.025,3.0,73.90423060568982,,3-HB water
0.05,2.0,19.416706421293163,,4-HB water
0.05,3.0,80.58329357870683,,3-HB water
0.1,2.0,21.190263538551747,,4-HB water
0.1,3.0,78.80973646144825,,3-HB water
0.15,2.0,25.339808447751395,,4-HB water
0.15,3.0,74.66019155224859,,3-HB water
0.2,2.0,26.832737027294236,,4-HB water
0.2,3.0,73.16726297270576,,3-HB water
