sample,experiment,peak_index,position,amplitude,fwhm
50 mA,exp1,1,3056.966122209134,1181.410886561465,28.88109338826789
50 mA,exp1,2,3259.8263934104607,565.1163858328034,275.3740341598445
50 mA,exp1,3,3444.2198034071343,544.4614472123469,150.15709828429988
50 mA,exp2,1,3057.335880595391,566.1175499168207,26.59316471992744
50 mA,exp2,2,3239.000082624682,342.9733682929086,308.37873549642853
50 mA,exp2,3,3438.878280084874,287.47497139222116,163.6679615353784
100 mA,exp1,1,3057.035184910465,1964.1522496496036,28.084268541631513
100 mA,exp1,2,3272.854800744028,766.4875503519092,274.18775574801356
100 mA,exp1,3,3453.12949738056,1138.6964577299254,184.99102910735274
100 mA,exp2,1,3056.826158184772,2347.842000960466,28.183488924489787
100 mA,exp2,2,3271.608037773876,952.4412737203437,260.0000000000779
100 mA,exp2,3,3453.064892684063,1554.3037114117674,194.73316427141404
150 mA,exp1,1,3056.976318106105,2829.054003771824,27.29278325033897
150 mA,exp1,2,3271.7671723567823,704.920041895826,280.4149512717697
150 mA,exp1,3,3446.8404115282337,767.976201532272,163.563542823641
150 mA,exp2,1,3057.018806068587,4205.74326902868,26.80193961101133
150 mA,exp2,2,3296.8085404001627,1087.9083792868607,260.00000000000006
150 mA,exp2,3,3458.4966050048542,1170.7779465055949,170.66929599821884
150 mA,exp3,1,3056.969974496693,3110.105158914262,26.950906967518904
150 mA,exp3,2,3285.5018467740338,810.265054003886,260.00000000000006
150 mA,exp3,3,3453.9409172283754,944.0964340472486,177.81407302465215
200 mA,exp1,1,3056.8014804881063,2168.3716741763847,28.067991000525453
200 mA,exp1,2,3283.3024230792475,711.0409798106901,260.00000000000017
200 mA,exp1,3,3448.8663625293498,630.5594720094774,168.04465831269428
200 mA,exp2,1,3057.0334835759077,2413.6477295867844,27.8279526508649
200 mA,exp2,2,3290.492231637569,807.3440950894385,260.00000000000006
200 mA,exp2,3,3454.7467812310997,757.2907217312021,177.90030997640713
300 mA,exp2,1,3055.482741111221,62.6206108131346,78.97940655248105
300 mA,exp2,2,3254.6835650049416,342.91518580335037,294.8306679461548
300 mA,exp2,3,3466.3800423312778,442.8108293095103,177.36413926881488
300 mA,exp3,1,3061.9733898663285,78.37774707117192,18.06248231149348
300 mA,exp3,2,3250.39770726007,344.6183689038438,327.1170637599354
300 mA,exp3,3,3468.7921873429887,411.90054854140396,186.95742543218446
300 mA,exp4,1,3061.488241936746,79.2179082365901,31.224818213911515
300 mA,exp4,2,3259.733672812433,359.3653883181355,320.59598358004735
300 mA,exp4,3,3468.7194195519587,400.4109835446088,182.9313530642461
400 mA,exp1,1,3060.422586660363,69.03525880977601,79.99984765393233
400 mA,exp1,2,3255.0318654293337,428.28719336794217,313.2459354155881
400 mA,exp1,3,3472.484730495541,740.5441775648993,180.6687628940997
400 mA,exp2,1,3061.0496770962404,71.63901802789293,18.553530766074637
400 mA,exp2,2,3253.851359947504,396.6062114344846,321.4463576605995
400 mA,exp2,3,3473.651074205061,609.012116308511,182.03585717595706
500 mA,exp1,1,3062.014736103331,82.53514624837933,70.57424044630991
500 mA,exp1,2,3250.6965802210666,266.1165631179596,285.0366329580954
500 mA,exp1,3,3453.7436044752008,251.62461533068003,163.88714762169516
500 mA,exp2,1,3060.773772226718,86.08897341520027,28.131919034239644
500 mA,exp2,2,3246.220960053226,298.17505488136044,310.78539921910965
500 mA,exp2,3,3460.821406257695,236.5340913538043,178.12326359572032
500 mA,exp3,1,3062.699049348049,87.08980319178306,42.60375965192911
500 mA,exp3,2,3238.6163345514324,252.09652521598736,289.1791463774852
500 mA,exp3,3,3455.728980624659,201.18293069874755,173.71938682987573
500 mA,exp4,1,3059.5349867241503,71.9853192574985,41.52913248700096
500 mA,exp4,2,3235.72627661003,241.03111743116708,288.71141678603334
500 mA,exp4,3,3455.4284450928994,211.09421551881027,175.1505906305809
750 mA,exp1,1,3057.555312171905,78.97180510332531,32.0960597771683
750 mA,exp1,2,3229.6109405978527,311.9677941835977,303.84501844814423
750 mA,exp1,3,3448.63184525069,313.3286047660818,193.83994783252115
750 mA,exp2,1,3058.9500042945183,95.70538689953823,25.39890904334379
750 mA,exp2,2,3240.253827172518,294.23287787862387,290.0917990349249
750 mA,exp2,3,3449.6927886249464,291.6239886614072,187.2812624331293
1000 mA,exp1,1,3058.9755323694044,95.56551949435726,25.35215513238121
1000 mA,exp1,2,3239.0865273582995,293.04796064374295,286.7985615065668
1000 mA,exp1,3,3449.633319855298,297.3076630070497,190.5968460830463
1000 mA,exp2,1,3057.548835007894,78.81596036250363,32.01138857561867
1000 mA,exp2,2,3229.332178272375,312.32341190548686,303.7221102297529
1000 mA,exp2,3,3448.8465076084412,315.2305512071705,195.1891436008246
