current_density,peak_index,pct_mean,pct_std,species
0.1,2.0,27.29760325426162,5.639553920955863,4-HB water
0.1,3.0,72.70239674573837,34.91571572455705,3-HB water
0.15,2.0,26.136343045321354,11.710693272921834,4-HB water
0.15,3.0,73.86365695467866,53.40893378281715,3-HB water
0.2,2.0,23.500927724277307,5.890045543516217,4-HB water
0.2,3.0,76.4990722757227,27.77057219918475,3-HB water
0.3,2.0,26.486027192448763,7.969712041385806,4-HB water
0.3,3.0,73.51397280755123,15.449909949801413,3-HB water
0.4,2.0,25.957402956504517,,4-HB water
0.4,3.0,74.04259704349549,,3-HB water
0.5,2.0,28.517098348375686,3.993194653710113,4-HB water
0.5,3.0,71.48290165162432,10.247894240706263,3-HB water
0.75,2.0,26.577170162235316,6.744439338539707,4-HB water
0.75,3.0,73.42282983776468,15.307774188866077,3-HB water
1.0,2.0,25.370220315830817,3.1922546076991463,4-HB water
1.0,3.0,74.62977968416918,3.4310070304384928,3-HB water
