sample,experiment,wn,int
100 mA,exp1,3750.169922,1895.102661
100 mA,exp1,3749.5,1881.012695
100 mA,exp1,3748.830078,1982.795532
100 mA,exp1,3748.160156,1880.311768
100 mA,exp1,3747.489258,1918.687256
100 mA,exp1,3746.819336,1967.608154
100 mA,exp1,3746.148438,1921.491821
100 mA,exp1,3745.477539,2082.987793
100 mA,exp1,3744.806641,1889.115356
100 mA,exp1,3744.135742,1916.901733
100 mA,exp1,3743.464844,1856.762817
100 mA,exp1,3742.793945,1842.353638
100 mA,exp1,3742.12207,1898.255493
100 mA,exp1,3741.451172,1855.726807
100 mA,exp1,3740.779297,1844.839844
100 mA,exp1,3740.107422,1893.68335
100 mA,exp1,3739.435547,1946.021484
100 mA,exp1,3738.763672,1935.123657
100 mA,exp1,3738.091797,1899.650391
100 mA,exp1,3737.419922,1987.065308
100 mA,exp1,3736.74707,1934.045166
100 mA,exp1,3736.074219,1891.572998
100 mA,exp1,3735.402344,1873.677856
100 mA,exp1,3734.729492,1950.508301
100 mA,exp1,3734.056641,1883.504517
100 mA,exp1,3733.383789,1802.498291
100 mA,exp1,3732.709961,1802.163818
100 mA,exp1,3732.037109,1808.840332
100 mA,exp1,3731.364258,1899.630981
100 mA,exp1,3730.69043,1843.211182
100 mA,exp1,3730.016602,1881.408447
100 mA,exp1,3729.342773,1888.065308
100 mA,exp1,3728.668945,1873.706177
100 mA,exp1,3727.995117,1887.365234
100 mA,exp1,3727.321289,1894.017212
100 mA,exp1,3726.646484,1862.16333
100 mA,exp1,3725.972656,1879.316528
100 mA,exp1,3725.297852,1805.489136
100 mA,exp1,3724.623047,1910.105469
100 mA,exp1,3723.948242,1888.765259
100 mA,exp1,3723.273438,1989.830322
100 mA,exp1,3722.598633,1912.540649
100 mA,exp1,3721.923828,2048.521484
100 mA,exp1,3721.248047,1897.851929
100 mA,exp1,3720.573242,1813.633179
100 mA,exp1,3719.897461,1911.124634
100 mA,exp1,3719.22168,1924.743652
100 mA,exp1,3718.545898,1966.297974
100 mA,exp1,3717.870117,1906.572021
100 mA,exp1,3717.194336,1822.429321
100 mA,exp1,3716.518555,1951.244385
100 mA,exp1,3715.841797,1985.782959
100 mA,exp1,3715.166016,1999.372925
100 mA,exp1,3714.489258,1852.479492
100 mA,exp1,3713.8125,1893.993164
100 mA,exp1,3713.135742,1956.415649
100 mA,exp1,3712.458984,1889.806274
100 mA,exp1,3711.782227,1865.054321
100 mA,exp1,3711.105469,1923.962158
