sample,experiment,peak_index,peak_name,position,amplitude,fwhm
50 mA,exp1,1,membrane,3057.5499581602594,1151.8890581996789,26.764305032121765
50 mA,exp1,2,4hb,3227.011813714602,426.70392301394855,165.32132211867486
50 mA,exp1,3,3hb,3426.977601861894,763.2595229903498,219.04832897213288
50 mA,exp2,1,membrane,3057.6650306422366,559.9122499721907,25.50610652741755
50 mA,exp2,2,4hb,3226.7627003823263,283.79906060398025,232.40621882686517
50 mA,exp2,3,3hb,3434.084501835966,381.62463255085913,211.34973036805346
100 mA,exp1,1,membrane,3057.5161951502773,1920.357664052493,26.42552695665658
100 mA,exp1,2,4hb,3219.9617186291293,463.262919878796,133.15321227455755
100 mA,exp1,3,3hb,3430.134490218132,1426.683120154608,248.6081400271471
100 mA,exp2,1,membrane,3057.309313611612,2295.908310213454,26.4868709603263
100 mA,exp2,2,4hb,3220.6437607508633,564.5158684942934,129.98320667247427
100 mA,exp2,3,3hb,3430.18263642452,1876.5264631023142,254.96399239037643
150 mA,exp1,1,membrane,3057.3883862436483,2747.874623133353,25.228344479579757
150 mA,exp1,2,4hb,3220.3151108333673,375.4444426057723,106.99862371872594
150 mA,exp1,3,3hb,3421.140074541787,1083.7250921395068,264.5907554075983
150 mA,exp2,1,membrane,3057.2732409967502,4140.780265473979,25.746029398413658
150 mA,exp2,2,4hb,3224.448600271733,579.1081739623515,108.0062247948974
150 mA,exp2,3,3hb,3423.9112006241116,1756.7220823531597,272.9424393755912
150 mA,exp3,1,membrane,3057.2614738331904,3046.196134100771,25.540458219242247
150 mA,exp3,2,4hb,3220.6452473263284,419.777868232052,100.82775019468272
150 mA,exp3,3,3hb,3421.1852111307053,1324.9923119212356,276.48117104450813
200 mA,exp1,1,membrane,3057.2397066757308,2100.393685495425,25.410080262105176
200 mA,exp1,2,4hb,3227.248813625905,324.02599328478203,111.76003078974512
200 mA,exp1,3,3hb,3412.1471128845205,981.8484683671813,278.07404136212267
200 mA,exp2,1,membrane,3057.403299329684,2354.438537907015,26.09369076185844
200 mA,exp2,2,4hb,3224.5579520705637,368.6755288098243,111.59618583879742
200 mA,exp2,3,3hb,3414.2053473251826,1170.5707700119654,279.99999999999994
300 mA,exp2,1,membrane,3068.5090221609635,64.88614366017478,31.770037138096143
300 mA,exp2,2,4hb,3229.9513223039844,293.24634893435433,230.13409846171172
300 mA,exp2,3,3hb,3459.4445401401326,538.7106106182338,222.17850660805084
300 mA,exp3,1,membrane,3062.027825312305,78.89198622675906,18.144190678029712
300 mA,exp3,2,4hb,3227.869577399816,326.52882560263487,279.99999999999994
300 mA,exp3,3,3hb,3464.726753760435,500.34210843529195,223.6781362722671
300 mA,exp4,1,membrane,3157.4256359875435,43.202837029246844,5.000000000000001
300 mA,exp4,2,4hb,3236.481770655938,316.25374108588255,279.99999999999994
300 mA,exp4,3,3hb,3464.8542010512315,493.4875985247146,227.06828068668798
400 mA,exp1,1,membrane,3055.6943080458636,67.52444152674833,79.99999994541812
400 mA,exp1,2,4hb,3226.245642187005,443.651599856021,279.9999999999936
400 mA,exp1,3,3hb,3472.149300411978,894.9343658064575,221.8015769296089
400 mA,exp2,1,membrane,3061.14179448391,72.20134130278794,18.56231724352251
400 mA,exp2,2,4hb,3234.451289992417,387.1648593959839,279.99999999999994
400 mA,exp2,3,3hb,3472.055693853447,708.0312861013756,212.2488774232157
500 mA,exp1,1,membrane,3063.0043787432373,74.95084339354585,40.2453082277769
500 mA,exp1,2,4hb,3238.0445648875098,244.83416793802334,263.08360744980183
500 mA,exp1,3,3hb,3453.2644692297617,297.502994596143,202.89928809342038
500 mA,exp2,1,membrane,3061.0463290107473,86.71726391159562,27.76920978761462
500 mA,exp2,2,4hb,3223.107045832243,275.9952207808932,261.7780940193174
500 mA,exp2,3,3hb,3452.900137861782,314.8713144281848,233.76115220380626
500 mA,exp3,1,membrane,3061.637607995418,90.95901084609169,44.583946668110045
500 mA,exp3,2,4hb,3221.9102418523426,266.69025478784295,279.99999999999994
500 mA,exp3,3,3hb,3454.3211705058025,244.46859170248422,215.35786326630094
500 mA,exp4,1,membrane,3059.7287900202546,77.29213369899799,43.805156880865816
500 mA,exp4,2,4hb,3210.702974691128,227.2626632233105,234.47018433858076
500 mA,exp4,3,3hb,3445.251006521259,278.7170155592301,239.01938838375676
750 mA,exp1,1,membrane,3055.889714466203,80.40763546463171,31.9967053907411
750 mA,exp1,2,4hb,3188.674159871182,319.26104564216473,279.99999999989376
750 mA,exp1,3,3hb,3439.032694013727,419.1110557755306,260.12717565029897
750 mA,exp2,1,membrane,3059.650793576385,99.23548644068887,27.19527510169551
750 mA,exp2,2,4hb,3206.5219863530924,246.6798152269809,218.916287380301
750 mA,exp2,3,3hb,3431.970702331173,376.7535376179631,245.74067207935124
1000 mA,exp1,1,membrane,3059.668219305787,99.28354236650114,27.216427666074136
1000 mA,exp1,2,4hb,3206.065237948779,245.67802098154968,218.09061938523158
1000 mA,exp1,3,3hb,3431.6759660571656,377.51379544519625,246.73805938846442
1000 mA,exp2,1,membrane,3055.8815007838725,80.3397081610514,31.973788782322124
1000 mA,exp2,2,4hb,3188.437390991388,319.195328811726,279.9999999999941
1000 mA,exp2,3,3hb,3438.9846004730152,419.6770941563035,260.61017110580315
