current_density,peak_index,pct_mean,pct_std,species
0.05,2.0,38.29405565136821,10.892497327583566,4-HB water
0.05,3.0,61.70594434863179,29.08898237695536,3-HB water
0.1,2.0,23.73081385084103,3.3062497719985844,4-HB water
0.1,3.0,76.26918614915895,14.68890012975183,3-HB water
0.15,2.0,24.808439555099106,5.800219184032822,4-HB water
0.15,3.0,75.1915604449009,18.46434540594963,3-HB water
0.2,2.0,24.346998964615533,2.2193778053434774,4-HB water
0.2,3.0,75.65300103538446,9.380749042929132,3-HB water
0.3,2.0,37.91787173856486,2.0711151484012387,4-HB water
0.3,3.0,62.08212826143513,2.961994306551752,3-HB water
0.4,2.0,34.136846328288314,3.2823116780476305,4-HB water
0.4,3.0,65.8631536717117,10.86049852023369,3-HB water
0.5,2.0,47.19166539485592,4.080177001160538,4-HB water
0.5,3.0,52.80833460514408,5.60727341495145,3-HB water
0.75,2.0,41.55812851958204,7.537446711318813,4-HB water
0.75,3.0,58.44187148041797,4.398761692383683,3-HB water
1.0,2.0,41.471858188147834,7.633206334584562,4-HB water
1.0,3.0,58.528141811852166,4.37776039830039,3-HB water
