sample,experiment,peak_index,peak_name,position,amplitude,fwhm
0.5 mA,exp1,2,4hb,3228.606797220758,9042.34971372645,279.99999999999994
0.5 mA,exp1,3,3hb,3472.4024818255343,11703.503674529144,228.4796508710596
1 mA,exp1,2,4hb,3250.4063683896643,11638.867146170236,258.326286111183
1 mA,exp1,3,3hb,3474.999999999909,19143.81062436526,218.70173118679003
10 mA,exp1,2,4hb,3244.994257124428,10497.476124479588,236.9949624767917
10 mA,exp1,3,3hb,3457.8495989881153,20845.69879647376,214.07710065610198
25 mA,exp1,2,4hb,3224.868292855795,8483.185299348084,201.05494274587522
25 mA,exp1,3,3hb,3449.691843593389,23152.07149610841,234.67192439481047
50 mA,exp1,2,4hb,3213.5334112554765,6881.514509388315,182.694950383627
50 mA,exp1,3,3hb,3450.3043373092573,27945.427414497983,263.0590067642812
100 mA,exp1,2,4hb,3211.1743079742146,3253.7019168671686,217.57533110161302
100 mA,exp1,3,3hb,3434.8776100644377,11496.747162350062,279.99999999999994
150 mA,exp1,2,4hb,3224.2269335624733,2673.119448866259,279.99999993590876
150 mA,exp1,3,3hb,3430.572654369971,7897.4350714421635,279.9999999999927
200 mA,exp1,2,4hb,3199.085418892603,144.27501217430552,220.534339730401
200 mA,exp1,3,3hb,3421.2505430988826,356.2894086912096,279.99999998248404
