sample,experiment,peak_index,peak_name,position,amplitude,fwhm
100 mA,exp1,1,membrane,3059.3120330153492,383.85392270589307,28.678353100792382
100 mA,exp1,2,4hb,3221.7947686135326,368.3950530068637,183.30081856112164
100 mA,exp1,3,3hb,3413.797500635505,561.4444337961419,208.98593094482868
100 mA,exp1,4,0hb,3580.499999875755,88.06555876291375,149.9999999977963
100 mA,exp2,1,membrane,3059.853773155325,182.27097315481524,29.282763863249954
100 mA,exp2,2,4hb,3248.666931364356,260.0095002246816,231.6957615161531
100 mA,exp2,3,3hb,3435.633717844748,314.1250948144867,173.42918955459817
100 mA,exp2,4,0hb,3580.4999999999995,42.17545306662952,90.89802876834705
100 mA,exp3,1,membrane,3059.242958829766,357.10091947452145,27.101311762892607
100 mA,exp3,2,4hb,3237.6922725685163,335.11689730674897,186.40425775375385
100 mA,exp3,3,3hb,3422.321099512856,609.0641978090734,199.38428689665278
100 mA,exp3,4,0hb,3580.499999999924,72.99501044874869,149.99999999996461
100 mA,exp4,1,membrane,3057.8150511965473,621.2676663327836,26.563505794131576
100 mA,exp4,2,4hb,3233.69438944534,617.8804887730571,182.1501969348302
100 mA,exp4,3,3hb,3416.4121000942882,1212.9669930550156,204.35457453872704
100 mA,exp4,4,0hb,3580.499999999999,218.37274507440205,149.9999999999998
100 mA,exp5,1,membrane,3057.8940892836363,510.3062729534852,25.45349779321623
100 mA,exp5,2,4hb,3237.0698303250324,526.2224847859927,184.35120271564682
100 mA,exp5,3,3hb,3419.9642125552787,1039.2492595962544,197.99193932604746
100 mA,exp5,4,0hb,3580.4999999999995,171.93582414045434,143.7168113822207
1000 mA,exp1,1,membrane,3058.1117568584637,509.7808318019518,26.613090704615523
1000 mA,exp1,2,4hb,3222.549208625604,227.28492217768598,158.8933622838096
1000 mA,exp1,3,3hb,3418.1213979376557,488.45190590671143,229.1964685577079
1000 mA,exp1,4,0hb,3580.4999999999995,90.40241883415021,149.99999999507062
1000 mA,exp2,1,membrane,3058.3378890250733,476.2764651334689,26.15121823962843
1000 mA,exp2,2,4hb,3252.202851769935,270.78040575840294,191.43571675193434
1000 mA,exp2,3,3hb,3432.311054693965,451.6897937665841,181.82475297234456
1000 mA,exp2,4,0hb,3580.4999999999995,112.69214345035235,149.99999999999997
1000 mA,exp3,1,membrane,3058.4594111034567,447.94528910597364,25.938615041923196
1000 mA,exp3,2,4hb,3254.9999999952656,278.6361367750129,189.6385233811756
1000 mA,exp3,3,3hb,3430.2793538387227,453.9175363188054,178.3767337580311
1000 mA,exp3,4,0hb,3580.4999999994225,149.15463306373,149.9999999980897
1000 mA,exp4,1,membrane,3057.8954257487176,467.3663541186557,27.221871388553843
1000 mA,exp4,2,4hb,3237.6860378575902,275.26462626120554,169.48802152780695
