current_mA,current_density,peak_index,amp_mean,amp_std,fwhm_mean,fwhm_std,pos_mean,pos_std,species
50.0,0.05,1,854.6275781354458,420.07890318412416,26.051429844962552,0.9962224170242904,3057.56832416808,0.07689209547775769,0-HB
50.0,0.05,2,398.02740708164936,101.14242408205003,229.7674200166676,71.03957822900784,3243.908414713349,10.070640204969342,4-HB water
50.0,0.05,3,544.1733010915118,304.71725042919627,188.13519738553902,13.063761100827442,3437.5054179893286,8.655321974529604,3-HB water
50.0,0.05,4,44.759744125301836,6.8009874494761835,121.51200669804554,29.58047078702697,3580.499999961665,5.30990096153332e-08,0-HB
100.0,0.1,1,2112.6266360347363,265.96814529477984,26.543730804525516,0.04555466956030069,3057.354039811721,0.13396340330633225,0-HB
100.0,0.1,2,720.0607399175265,109.7125692528466,164.39986102092482,6.55349989008737,3241.6017728796796,1.7495974913455061,4-HB water
100.0,0.1,3,1664.5291188810952,323.2909513755767,195.55470250394706,4.051924471006798,3430.218772172284,1.7573201193800863,3-HB water
100.0,0.1,4,317.4244122923251,71.87891175967076,149.99999999998892,1.5635608740556506e-11,3580.499999999998,1.4380373887290168e-12,0-HB
150.0,0.15,1,3313.2900129261725,731.3277728799519,25.52147871250732,0.2234892136019733,3057.3118853373576,0.05964353194422198,0-HB
150.0,0.15,2,659.8634732112955,137.11779730012537,132.38652741884678,6.410936225875635,3236.138550989644,2.2664537340485627,4-HB water
150.0,0.15,3,1415.5054701052588,334.5276398547728,203.37071656380508,9.31306202017286,3419.436349508191,1.658152589292145,3-HB water
150.0,0.15,4,313.14017663023026,58.33121866994649,149.99999999999997,0.0,3580.4999999999995,0.0,0-HB
200.0,0.2,1,2227.5560101808132,180.33320342595056,25.74275717475385,0.49992072276698263,3057.342157581131,0.11875075885113028,0-HB
200.0,0.2,2,506.37471140583256,21.257666154454444,130.84782821325578,2.804332554101871,3234.9295942912104,4.264246406248206,4-HB water
200.0,0.2,3,1087.3620106995331,132.7864540227076,218.12330594796708,7.818573830087635,3412.7917472526724,2.109379940436023,3-HB water
200.0,0.2,4,209.47282236804523,22.569282582541312,136.88287385578886,18.55041769250206,3580.4999999999995,0.0,0-HB
300.0,0.3,1,72.46704764049174,10.673583722653358,26.023569633729355,6.712141841868081,3064.151955767524,3.6161165534468753,0-HB
300.0,0.3,2,334.70909507805635,8.453955057765254,278.8028174457915,2.073581009824098,3242.8866792420963,11.474632546970177,4-HB water
300.0,0.3,3,487.59244035786804,3.3906574956819338,202.28476706098886,18.026348760748306,3462.303873912917,0.9468178767536132,3-HB water
300.0,0.3,4,49.46415984850663,33.049768015495594,109.77859596011126,22.094427572852695,3580.4999999999995,0.0,0-HB
400.0,0.4,1,66.35902761499518,8.779585007482824,49.30818654738753,43.40477883850954,3066.7566680607806,7.7699591844727065,0-HB
400.0,0.4,2,410.353125712302,31.788998060602,279.99999999999994,0.0,3246.0896710597945,9.216691603300646,4-HB water
400.0,0.4,3,759.7134082197937,92.97139063946503,193.3696011787593,11.413191630721402,3467.907431731849,2.503222257414446,3-HB water
400.0,0.4,4,101.68247881738483,83.27067951041772,97.26933576614002,8.030578863760637,3580.4999999999995,0.0,0-HB
500.0,0.5,1,81.87291645956152,9.284393161457489,40.192674066845285,9.384746739990305,3061.953521791988,1.7200284429344546,0-HB
500.0,0.5,2,271.91792317310484,18.82202022261011,279.9999999930675,1.3704576300350478e-08,3241.0572334111034,7.812620869669361,4-HB water
500.0,0.5,3,259.95995817883755,23.864100162591754,180.77723913799747,6.512180409761175,3452.685831193872,1.7957032629444787,3-HB water
500.0,0.5,4,48.39739916716119,13.366498257973367,112.04221904535333,30.441877857112793,3580.4999999931406,9.284144586958183e-09,0-HB
750.0,0.75,1,90.17603557397888,8.559191851352429,30.20751739462522,5.599837150071638,3058.2792353913683,1.7598354794402224,0-HB
750.0,0.75,2,320.3450196555232,10.754410168760819,279.99999999999994,0.0,3230.918604529521,24.830416853421582,4-HB water
750.0,0.75,3,351.44701234951367,47.24331006340547,189.08690238184076,31.044288465938862,3442.4871291853433,3.7834106761057065,3-HB water
750.0,0.75,4,77.87420574706434,18.96419404741531,114.9886229650884,4.72900430174516,3580.4999999999995,0.0,0-HB
1000.0,1.0,1,90.16051618971522,8.565192793520245,30.189891359220134,5.609380570540613,3058.2862642326463,1.7634450455692892,0-HB
1000.0,1.0,2,320.4974636777715,10.613183723889064,279.99999999999994,0.0,3230.9986416119127,24.868610895282604,4-HB water
1000.0,1.0,3,351.51914749766803,47.202379752795345,188.94736143669303,31.11346946169962,3442.4287619433026,3.750685705276494,3-HB water
1000.0,1.0,4,78.53012945972927,19.318147471268446,115.79460694963464,4.988067484503636,3580.4999999999995,0.0,0-HB
