current_mA,current_density,peak_index,amp_mean,amp_std,fwhm_mean,fwhm_std,pos_mean,pos_std,species
0.5,0.0005,2,9049.902649609256,,279.99999999999994,,3229.9577416637258,,4-HB water
0.5,0.0005,3,11530.584526075358,,222.57177142849562,,3470.2451750358305,,3-HB water
0.5,0.0005,4,415.61182315040173,,119.57956335920345,,3580.0000000000005,,0-HB
1.0,0.001,2,11933.702069921359,,267.4585269180575,,3254.9999999999995,,4-HB water
1.0,0.001,3,18577.267027120055,,211.77490561859216,,3474.9999999986717,,3-HB water
1.0,0.001,4,640.1666563840442,,149.99999999988765,,3580.000000000001,,0-HB
10.0,0.01,2,11210.13240187189,,249.43626000786114,,3254.999999997948,,4-HB water
10.0,0.01,3,20074.39216578307,,197.63957135257021,,3457.269011284179,,3-HB water
10.0,0.01,4,1569.9141624212746,,149.99999999997806,,3580.499999999441,,0-HB
25.0,0.025,2,10698.579761157944,,238.43192067766626,,3254.9999999999995,,4-HB water
25.0,0.025,3,21693.26847864072,,187.84174281387672,,3449.8762904420673,,3-HB water
25.0,0.025,4,4236.947644666677,,149.99999999999997,,3580.4999999999995,,0-HB
50.0,0.05,2,10303.430352981039,,224.66902870571238,,3254.9999999999995,,4-HB water
50.0,0.05,3,25959.779107231763,,195.727042128694,,3446.198167492862,,3-HB water
50.0,0.05,4,6867.0860743635085,,148.00896256642372,,3580.4999999999995,,0-HB
100.0,0.1,2,5399.524445632458,,236.74033583507455,,3254.9999999999945,,4-HB water
100.0,0.1,3,10415.862528063552,,197.95079181034694,,3433.7708994684995,,3-HB water
100.0,0.1,4,3288.6155413577017,,149.99999999999997,,3580.4999999999995,,0-HB
150.0,0.15,2,3795.485533883855,,251.20408380116675,,3254.9999999974493,,4-HB water
150.0,0.15,3,7314.69027605147,,213.31075077017297,,3429.5726895115986,,3-HB water
150.0,0.15,4,1703.1617292523758,,142.91246095831133,,3580.499999999639,,0-HB
200.0,0.2,2,171.3644718578646,,230.14503926124837,,3213.3684876878497,,4-HB water
200.0,0.2,3,344.68163079371385,,248.76525310010277,,3424.3597455598588,,3-HB water
200.0,0.2,4,30.105096064729157,,109.41900692259055,,3580.0000000004325,,0-HB
