sample,experiment,wn,int
0.5 mA,exp1,3750.25684,39783.89453
0.5 mA,exp1,3749.58691,40143.19922
0.5 mA,exp1,3748.91699,39734.21875
0.5 mA,exp1,3748.24707,39652.87109
0.5 mA,exp1,3747.57617,39937.69141
0.5 mA,exp1,3746.90625,39905.61328
0.5 mA,exp1,3746.23535,39789.08594
0.5 mA,exp1,3745.56445,39778.15625
0.5 mA,exp1,3744.89356,39770.75391
0.5 mA,exp1,3744.22266,39759.83203
0.5 mA,exp1,3743.55176,39625.83594
0.5 mA,exp1,3742.87988,39882.16406
0.5 mA,exp1,3742.20898,40173.55078
0.5 mA,exp1,3741.53711,39146.8125
0.5 mA,exp1,3740.86621,40102.38281
0.5 mA,exp1,3740.19434,39571.42969
0.5 mA,exp1,3739.52246,39623.78906
0.5 mA,exp1,3738.85059,39454.86719
0.5 mA,exp1,3738.17871,40012.87891
0.5 mA,exp1,3737.50586,39598.19141
0.5 mA,exp1,3736.83398,39429.37109
0.5 mA,exp1,3736.16113,39516.80078
0.5 mA,exp1,3735.48828,39958.59375
0.5 mA,exp1,3734.81641,39540.71484
0.5 mA,exp1,3734.14356,39842.03906
0.5 mA,exp1,3733.4707,39775.02344
0.5 mA,exp1,3732.79688,39935.94141
0.5 mA,exp1,3732.12402,39416.71484
0.5 mA,exp1,3731.4502,39896.58594
0.5 mA,exp1,3730.77734,39535.25391
0.5 mA,exp1,3730.10352,40354.77344
0.5 mA,exp1,3729.42969,39888.40234
0.5 mA,exp1,3728.75586,39555.28906
0.5 mA,exp1,3728.08203,39698.52734
0.5 mA,exp1,3727.4082,39799.69922
0.5 mA,exp1,3726.7334,39592.80078
0.5 mA,exp1,3726.05957,39977.42969
0.5 mA,exp1,3725.38477,39952.52734
0.5 mA,exp1,3724.70996,40183.01953
0.5 mA,exp1,3724.03613,39997.1875
0.5 mA,exp1,3723.36035,40157.64063
0.5 mA,exp1,3722.68555,40339.01563
0.5 mA,exp1,3722.01074,39859.60547
0.5 mA,exp1,3721.33594,40026.98828
0.5 mA,exp1,3720.66016,40215.26953
0.5 mA,exp1,3719.98438,40543.24219
0.5 mA,exp1,3719.30957,40130.51953
0.5 mA,exp1,3718.63379,40255.8125
0.5 mA,exp1,3717.95801,40346.14063
0.5 mA,exp1,3717.28125,40450.39844
0.5 mA,exp1,3716.60547,39964.69141
0.5 mA,exp1,3715.92969,40089.92188
0.5 mA,exp1,3715.25293,40162.76172
0.5 mA,exp1,3714.57617,40765.86328
0.5 mA,exp1,3713.90039,40737.39844
0.5 mA,exp1,3713.22363,40415.99609
0.5 mA,exp1,3712.54688,40087.74219
0.5 mA,exp1,3711.86914,40505.64063
0.5 mA,exp1,3711.19238,40682.88672
0.5 mA,exp1,3710.51563,40849.61328
0.5 mA,exp1,3709.83789,40709.66406
0.5 mA,exp1,3709.16016,39988.01172
0.5 mA,exp1,3708.48242,40583.17188
0.5 mA,exp1,3707.80469,40701.03906
0.5 mA,exp1,3707.12695,40355.80078
0.5 mA,exp1,3706.44922,40703.41406
0.5 mA,exp1,3705.77148,40494.03516
0.5 mA,exp1,3705.09277,40406.52734
0.5 mA,exp1,3704.41504,40541.70703
0.5 mA,exp1,3703.73633,40492.48438
0.5 mA,exp1,3703.05762,40540.65625
0.5 mA,exp1,3702.37891,40856.54688
0.5 mA,exp1,3701.7002,40769.05078
0.5 mA,exp1,3701.02148,40966.60156
0.5 mA,exp1,3700.3418,40809.60938
0.5 mA,exp1,3699.66309,40683.94531
0.5 mA,exp1,3698.9834,40766.76172
0.5 mA,exp1,3698.30371,40602.94531
0.5 mA,exp1,3697.62402,41109.41016
0.5 mA,exp1,3696.94434,40980.30859
0.5 mA,exp1,3696.26465,41236.57813
0.5 mA,exp1,3695.58496,40781.25
0.5 mA,exp1,3694.9043,41141.5625
0.5 mA,exp1,3694.22461,40821.72656
0.5 mA,exp1,3693.54395,40810.73438
0.5 mA,exp1,3692.86328,40903.78906
0.5 mA,exp1,3692.18262,41478.79688
0.5 mA,exp1,3691.50195,40840.17578
0.5 mA,exp1,3690.82129,41103.01953
0.5 mA,exp1,3690.14063,40769.67578
0.5 mA,exp1,3689.45898,41358.14453
0.5 mA,exp1,3688.77832,41236.20313
0.5 mA,exp1,3688.09668,41187.03906
0.5 mA,exp1,3687.41504,40878.16797
0.5 mA,exp1,3686.7334,41431.55469
0.5 mA,exp1,3686.05176,40921.96094
0.5 mA,exp1,3685.37012,41284.76953
0.5 mA,exp1,3684.68848,41190.65234
0.5 mA,exp1,3684.00586,40812.86328
0.5 mA,exp1,3683.32422,41677.07813
0.5 mA,exp1,3682.6416,41610.60938
0.5 mA,exp1,3681.95898,42087.06641
0.5 mA,exp1,3681.27637,41643.69531
0.5 mA,exp1,3680.59375,41674.05078
0.5 mA,exp1,3679.91113,41939.41016
0.5 mA,exp1,3679.22754,41917.87109
0.5 mA,exp1,3678.54492,42183.08594
0.5 mA,exp1,3677.86133,42351.48438
0.5 mA,exp1,3677.17773,41238.5625
0.5 mA,exp1,3676.49512,41817.96875
0.5 mA,exp1,3675.81152,41475.40625
0.5 mA,exp1,3675.12695,41888.87109
0.5 mA,exp1,3674.44336,42153.79297
0.5 mA,exp1,3673.75977,42273.70313
0.5 mA,exp1,3673.0752,42403.91406
0.5 mA,exp1,3672.39063,42323.68359
0.5 mA,exp1,3671.70703,41881.39453
0.5 mA,exp1,3671.02246,42146.07031
0.5 mA,exp1,3670.33789,42055.58594
0.5 mA,exp1,3669.65332,42106.44141
0.5 mA,exp1,3668.96777,41947.07813
0.5 mA,exp1,3668.2832,42132.30078
0.5 mA,exp1,3667.59766,42500.01953
0.5 mA,exp1,3666.91309,42736.73047
0.5 mA,exp1,3666.22754,42315.66797
0.5 mA,exp1,3665.54199,42418.05469
0.5 mA,exp1,3664.85645,42375.83594
0.5 mA,exp1,3664.16992,42385.25391
0.5 mA,exp1,3663.48438,42387.78125
0.5 mA,exp1,3662.79883,42651.76563
0.5 mA,exp1,3662.11231,42465.07031
0.5 mA,exp1,3661.42578,42756.45313
0.5 mA,exp1,3660.74023,42717.64844
