sample,experiment,peak_index,position,amplitude,fwhm
50 mA,exp1,1,3057.4876007033563,1152.8302285108603,26.80658759298051
50 mA,exp1,2,3232.15248737302,446.72731664591447,180.00000000000003
50 mA,exp1,3,3431.4197873018393,755.4518292687825,212.06713809909502
50 mA,exp2,1,3057.6650307327254,559.9117698295826,25.506295262708715
50 mA,exp2,2,3226.7602213745245,283.7960726495805,232.40196383815768
50 mA,exp2,3,3434.082845588022,381.629199424712,211.35216313798264
100 mA,exp1,1,3057.3561900472164,1931.3880860428226,26.70126764494716
100 mA,exp1,2,3230.6208309641183,527.8537241739753,180.00000000000003
100 mA,exp1,3,3437.5297978601434,1418.3062243378372,234.16777285277092
100 mA,exp2,1,3057.1288151766475,2312.3053747939894,26.86445520732137
100 mA,exp2,2,3230.841132896569,649.3764048250898,180.00000000000003
100 mA,exp2,3,3437.4675318418226,1865.9953827546635,241.06199292404426
150 mA,exp1,1,3057.2888314104493,2763.6015467065995,25.494550478778773
150 mA,exp1,2,3237.7587365567015,452.37697406977946,180.00000000000003
150 mA,exp1,3,3434.7881606185097,1061.854136770002,238.38697674592783
150 mA,exp2,1,3057.173024566725,4166.0084801429575,26.05720903806022
150 mA,exp2,2,3239.999999999583,689.4204608251539,180.00000000004303
150 mA,exp2,3,3436.7583569278654,1718.4108472499252,250.99862394333465
150 mA,exp3,1,3057.165575685216,3064.2783401919523,25.824059032156658
150 mA,exp3,2,3239.1085440225024,509.3199358334854,180.00000000000003
150 mA,exp3,3,3435.232597944633,1292.5680587971935,250.48539447573054
200 mA,exp1,1,3057.134759854305,2115.9517912577444,25.832180469334226
200 mA,exp1,2,3239.999999999435,406.51640174126356,180.00000000000009
200 mA,exp1,3,3426.4841429406097,951.9575442755946,258.7855854633895
200 mA,exp2,1,3057.2969847564173,2369.7395294632347,26.415525662624294
200 mA,exp2,2,3239.999999941609,456.0620709032787,180.00000000000003
200 mA,exp2,3,3428.3330381546025,1134.1219381025876,262.93551485675874
300 mA,exp2,1,3068.508972671558,64.88628590478064,31.769671880701555
300 mA,exp2,2,3229.951395935803,293.24641651827386,230.1343896498688
300 mA,exp2,3,3459.4445960447583,538.7104267908949,222.17842978260626
300 mA,exp3,1,3062.257335419416,81.02018050005447,19.17408927065163
300 mA,exp3,2,3220.9130054598354,305.33669913419914,249.99999999999997
300 mA,exp3,3,3459.1564934950325,517.3901827688206,229.80555656950318
300 mA,exp4,1,3062.1726202110003,80.34065047750143,30.48707849444517
300 mA,exp4,2,3225.57656665298,316.2773606980291,249.99999999716047
300 mA,exp4,3,3458.65386067223,525.2445547740565,234.40136282007353
400 mA,exp1,1,3063.1416498358367,70.16300880832375,79.99999999981883
400 mA,exp1,2,3224.4773886269604,411.4412087365165,249.99999999999997
400 mA,exp1,3,3469.032723547397,906.8993517027516,224.62066862163823
400 mA,exp2,1,3061.3936833309094,75.55864122684221,19.332650292087507
400 mA,exp2,2,3228.236318204376,365.75816473214627,249.99999999999997
400 mA,exp2,3,3467.9150292984705,727.2290114380959,217.0507482208923
500 mA,exp1,1,3063.366051204728,76.30030317623216,41.43927790439981
500 mA,exp1,2,3234.511206304521,239.47310616503972,249.99999999990467
500 mA,exp1,3,3450.4006340472047,305.66647722386597,205.6645498202402
500 mA,exp2,1,3061.144702841705,87.80711024683809,28.214006704699646
500 mA,exp2,2,3219.638212605977,267.83695916697724,249.999999666532
500 mA,exp2,3,3449.2035154689956,321.7548744719358,237.64272965397464
500 mA,exp3,1,3063.1810655722134,95.06353219542166,51.294677859690324
500 mA,exp3,2,3217.41216229433,253.8495466813177,249.99999999999997
500 mA,exp3,3,3446.8327981388597,259.28289153523605,222.0410710699975
500 mA,exp4,1,3059.7285130070095,77.29235943856705,43.80578320026237
500 mA,exp4,2,3210.7013366635047,227.2629256971225,234.46992991783466
500 mA,exp4,3,3445.250167265484,278.71872800610856,239.02163653283478
750 mA,exp1,1,3056.3367000220483,83.82420387822431,33.435079894371874
750 mA,exp1,2,3184.3440652440618,288.92438591335275,249.99999999999997
750 mA,exp1,3,3431.837550718516,428.13770184434907,266.9218443459005
750 mA,exp2,1,3059.651048314508,99.23594873993976,27.194431625179774
750 mA,exp2,2,3206.5227164042767,246.68048590397905,218.91776336958026
750 mA,exp2,3,3431.971287071438,376.75243040974317,245.7397949445701
1000 mA,exp1,1,3059.663965756234,99.28131647379092,27.222946232392427
1000 mA,exp1,2,3206.056260983603,245.67048185453717,218.07626663138345
1000 mA,exp1,3,3431.669411992609,377.52600565560016,246.7484588732033
1000 mA,exp2,1,3056.3281146217405,83.75698188755489,33.397323599082085
1000 mA,exp2,2,3184.0969474801195,288.74044263440766,249.99999999999997
1000 mA,exp2,3,3431.781493300453,428.6777201461666,267.47201393513564
